,MMM-YY,Driver_ID,Age,Gender,City,Education_Level,Income,Dateofjoining,LastWorkingDate,Joining Designation,Grade,Total Business Value,Quarterly Rating
226,05/01/20,41,34,0,C29,2,92372,07/04/19,,4,4,811400,2
227,06/01/20,41,34,0,C29,2,92372,07/04/19,,4,4,1071890,2
228,07/01/20,41,34,0,C29,2,92372,07/04/19,,4,4,1358260,1
229,08/01/20,41,34,0,C29,2,92372,07/04/19,,4,4,306820,1
230,09/01/20,41,34,0,C29,2,92372,07/04/19,,4,4,0,1
231,10/01/20,41,34,0,C29,2,92372,07/04/19,,4,4,775520,2
232,11/01/20,41,34,0,C29,2,92372,07/04/19,,4,4,180770,2
233,12/01/20,41,35,0,C29,2,92372,07/04/19,,4,4,1270000,2
234,01/01/19,42,44,1,C28,0,45988,20/10/18,,2,2,147900,1
235,02/01/19,42,44,1,C28,0,45988,20/10/18,,2,2,189020,1
236,03/01/19,42,44,1,C28,0,45988,20/10/18,,2,2,657770,1
237,04/01/19,42,44,1,C28,0,45988,20/10/18,,2,2,0,1
238,05/01/19,42,44,1,C28,0,45988,20/10/18,16/05/19,2,2,0,1
239,01/01/19,43,27,1,C15,0,12906,13/07/18,,1,1,359890,1
240,02/01/19,43,27,,C15,0,12906,13/07/18,20/02/19,1,1,0,1
241,09/01/20,44,28,0,C17,2,62100,25/09/20,,1,1,0,1
242,10/01/20,44,28,0,C17,2,62100,25/09/20,,1,1,150110,1
243,11/01/20,44,28,0,C17,2,62100,25/09/20,24/11/20,1,1,0,1
244,06/01/20,45,35,0,C8,2,77544,29/05/20,,3,3,0,1
245,07/01/20,45,35,0,C8,2,77544,29/05/20,,3,3,1262040,3
246,08/01/20,45,35,0,C8,2,77544,29/05/20,,3,3,1202980,3
247,09/01/20,45,35,0,C8,2,77544,29/05/20,,3,3,-58440,3
248,10/01/20,45,35,0,C8,2,77544,29/05/20,,3,3,964680,3
249,11/01/20,45,35,0,C8,2,77544,29/05/20,,3,3,334320,3
250,12/01/20,45,35,0,C8,2,77544,29/05/20,,3,3,1521760,3
251,01/01/19,46,36,1,C25,2,42171,28/10/18,,1,1,231860,1
252,02/01/19,46,36,1,C25,2,42171,28/10/18,,1,1,106430,1
253,03/01/19,46,36,1,C25,2,42171,28/10/18,27/02/19,1,1,0,1
254,10/01/20,47,30,0,C21,1,28000,10/09/20,,1,1,0,2
255,11/01/20,47,30,0,C21,1,28000,10/09/20,,1,1,484060,2
256,12/01/20,47,30,0,C21,1,28000,10/09/20,,1,1,382210,2
257,01/01/19,49,21,0,C20,0,53039,25/05/18,,1,2,171760,1
258,02/01/19,49,21,,C20,0,53039,25/05/18,,1,2,0,1
259,03/01/19,49,21,0,C20,0,53039,25/05/18,,1,2,392890,1
260,04/01/19,49,21,0,C20,0,53039,25/05/18,,1,2,106160,1
261,05/01/19,49,,0,C20,0,53039,25/05/18,,1,2,124190,1
262,06/01/19,49,21,0,C20,0,53039,25/05/18,,1,2,0,1
263,07/01/19,49,21,0,C20,0,53039,25/05/18,,1,2,503500,2
264,08/01/19,49,21,,C20,0,53039,25/05/18,,1,2,300300,2
265,09/01/19,49,21,0,C20,0,53039,25/05/18,,1,2,0,2
266,10/01/19,49,21,0,C20,0,53039,25/05/18,,1,2,0,1
267,11/01/19,49,,0,C20,0,53039,25/05/18,,1,2,0,1
268,12/01/19,49,21,0,C20,0,53039,25/05/18,,1,2,200000,1
269,01/01/20,49,22,0,C20,0,53039,25/05/18,21/01/20,1,2,0,1
270,01/01/19,50,49,1,C5,0,89367,20/11/18,,3,3,110310,1
271,02/01/19,50,49,1,C5,0,89367,20/11/18,20/02/19,3,3,0,1
272,01/01/19,51,33,0,C14,0,131347,22/05/17,,4,4,0,1
273,02/01/19,51,33,0,C14,0,131347,22/05/17,,4,4,0,1
274,03/01/19,51,33,0,C14,0,131347,22/05/17,,4,4,0,1
275,06/01/19,51,33,0,C14,0,131347,22/05/17,,4,4,0,1
276,07/01/19,51,33,0,C14,0,131347,22/05/17,,4,4,200000,2
277,08/01/19,51,33,0,C14,0,131347,22/05/17,,4,4,845500,2
278,09/01/19,51,33,0,C14,0,131347,22/05/17,,4,4,742500,2
279,10/01/19,51,33,0,C14,0,131347,22/05/17,,4,4,250000,2
280,11/01/19,51,34,0,C14,0,131347,22/05/17,,4,4,570000,2
281,12/01/19,51,34,0,C14,0,131347,22/05/17,23/12/19,4,4,582010,2
282,07/01/20,52,36,0,C19,0,48687,28/06/20,,3,3,0,1
283,08/01/20,52,36,0,C19,0,48687,28/06/20,,3,3,0,1
284,09/01/20,52,36,0,C19,0,48687,28/06/20,,3,3,493300,1
285,10/01/20,52,37,0,C19,0,48687,28/06/20,,3,3,502020,2
286,11/01/20,52,37,0,C19,0,48687,28/06/20,,3,3,556710,2
287,12/01/20,52,37,0,C19,0,48687,28/06/20,,3,3,300560,2
288,07/01/19,54,33,0,C29,1,117993,07/11/19,,4,4,0,2
289,08/01/19,54,33,0,C29,1,117993,07/11/19,,4,4,0,2
290,09/01/19,54,33,0,C29,1,117993,07/11/19,,4,4,2000000,2
291,10/01/19,54,33,0,C29,1,117993,07/11/19,,4,4,0,3
292,11/01/19,54,33,0,C29,1,117993,07/11/19,,4,4,1950000,3
293,12/01/19,54,34,0,C29,1,117993,07/11/19,,4,4,1455010,3
294,01/01/20,54,34,0,C29,1,117993,07/11/19,,4,4,3398000,4
295,02/01/20,54,34,0,C29,1,117993,07/11/19,,4,4,6062470,4
296,03/01/20,54,34,0,C29,1,117993,07/11/19,,4,4,14620880,4
297,04/01/20,54,34,0,C29,1,117993,07/11/19,,4,4,0,2
298,05/01/20,54,34,0,C29,1,117993,07/11/19,,4,4,1380000,2
299,06/01/20,54,34,0,C29,1,127826,07/11/19,,4,5,1449260,3
300,07/01/20,54,34,0,C29,1,127826,07/11/19,,4,5,193240,1
301,08/01/20,54,34,0,C29,1,127826,07/11/19,,4,5,350000,1
302,09/01/20,54,34,0,C29,1,127826,07/11/19,,4,5,0,1
303,10/01/20,54,34,0,C29,1,127826,07/11/19,,4,5,0,1
304,11/01/20,54,34,0,C29,1,127826,07/11/19,,4,5,0,1
305,12/01/20,54,35,0,C29,1,127826,07/11/19,,4,5,964430,1
306,11/01/19,55,30,1,C8,0,29985,21/11/19,,1,1,0,1
307,12/01/19,55,30,1,C8,0,29985,21/11/19,,1,1,0,1
308,01/01/20,55,30,1,C8,0,29985,21/11/19,,1,1,0,1
309,02/01/20,55,30,1,C8,0,29985,21/11/19,,1,1,0,1
310,03/01/20,55,30,1,C8,0,29985,21/11/19,15/03/20,1,1,0,1
311,01/01/19,56,34,1,C19,2,80223,20/07/18,,1,1,402040,3
312,02/01/19,56,34,1,C19,2,80223,20/07/18,,1,1,358980,3
313,03/01/19,56,34,1,C19,2,80223,20/07/18,,1,1,1111110,3
314,04/01/19,56,34,1,C19,2,80223,20/07/18,,1,1,0,2
315,05/01/19,56,34,1,C19,2,80223,20/07/18,,1,1,428450,2
316,06/01/19,56,34,1,C19,2,80223,20/07/18,,1,1,0,2
317,07/01/19,56,34,1,C19,2,80223,20/07/18,,1,1,717580,4
318,08/01/19,56,34,1,C19,2,80223,20/07/18,,1,1,500000,4
319,09/01/19,56,35,1,C19,2,80223,20/07/18,,1,1,936760,4
320,10/01/19,56,35,1,C19,2,80223,20/07/18,,1,1,1125300,3
321,11/01/19,56,35,1,C19,2,80223,20/07/18,,1,1,500000,3
322,12/01/19,56,35,1,C19,2,80223,20/07/18,,1,1,0,3
323,01/01/20,56,35,1,C19,2,80223,20/07/18,,1,1,156710,2
324,02/01/20,56,35,1,C19,2,80223,20/07/18,,1,1,0,2
325,03/01/20,56,35,1,C19,2,80223,20/07/18,,1,1,1198140,2
326,04/01/20,56,35,1,C19,2,80223,20/07/18,,1,1,0,3
327,05/01/20,56,35,1,C19,2,80223,20/07/18,,1,1,438580,3
328,06/01/20,56,35,1,C19,2,80223,20/07/18,,1,1,838040,3
329,07/01/20,56,35,1,C19,2,80223,20/07/18,,1,1,504690,2
330,08/01/20,56,35,1,C19,2,80223,20/07/18,,1,1,300960,2
331,09/01/20,56,36,1,C19,2,80223,20/07/18,,1,1,0,2
332,10/01/20,56,36,1,C19,2,80223,20/07/18,,1,1,1490080,4
333,11/01/20,56,36,1,C19,2,80223,20/07/18,,1,1,257330,4
334,12/01/20,56,36,1,C19,2,80223,20/07/18,,1,1,458720,4
335,01/01/19,57,36,1,C1,1,84318,26/07/17,,1,2,414260,3
336,02/01/19,57,36,1,C1,1,84318,26/07/17,,1,2,1322870,3
337,03/01/19,57,36,1,C1,1,84318,26/07/17,,1,2,1000380,3
338,04/01/19,57,37,1,C1,1,84318,26/07/17,,1,2,676920,2
339,05/01/19,57,37,1,C1,1,84318,26/07/17,,1,2,-157620,2
340,06/01/19,57,37,1,C1,1,84318,26/07/17,,1,2,150350,2
341,07/01/19,57,37,1,C1,1,84318,26/07/17,,1,2,250000,3
342,08/01/19,57,37,1,C1,1,84318,26/07/17,,1,2,719670,3
343,09/01/19,57,37,1,C1,1,84318,26/07/17,,1,2,573350,3
344,10/01/19,57,37,1,C1,1,84318,26/07/17,,1,2,419100,4
345,11/01/19,57,37,1,C1,1,84318,26/07/17,,1,2,741970,4
346,12/01/19,57,37,1,C1,1,84318,26/07/17,,1,2,7612390,4
347,01/01/20,57,37,1,C1,1,84318,26/07/17,,1,2,3636360,3
348,02/01/20,57,37,1,C1,1,84318,26/07/17,,1,2,350670,3
349,03/01/20,57,37,1,C1,1,84318,26/07/17,,1,2,983560,3
350,04/01/20,57,38,1,C1,1,84318,26/07/17,,1,2,1001040,4
351,05/01/20,57,38,1,C1,1,84318,26/07/17,,1,2,500000,4
352,06/01/20,57,38,1,C1,1,84318,26/07/17,,1,2,2596040,4
353,07/01/20,57,38,1,C1,1,84318,26/07/17,21/07/20,1,2,0,1
354,01/01/19,58,41,0,C4,0,57987,15/10/18,25/01/19,2,2,0,1
355,01/01/19,59,35,1,C18,1,31644,01/06/19,,1,1,0,1
356,02/01/19,59,35,1,C18,1,31644,01/06/19,,1,1,134660,1
357,03/01/19,59,35,1,C18,1,31644,01/06/19,28/03/19,1,1,0,1
358,01/01/19,60,46,1,C20,0,82126,17/09/16,,1,3,913700,4
359,02/01/19,60,46,1,C20,0,82126,17/09/16,,1,3,1435000,4
360,03/01/19,60,46,1,C20,0,82126,17/09/16,,1,3,7799990,4
